"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"35634",1992,1,1,0,1,1,0,50,85,85,3,7,3,4,41,1,3,0,2,0,1,1,4
"35635",1992,1,1,0,1,1,0,40,60,85,4,5,1,2,83,1,1,0,3,0,1,0,4
"35636",1992,0,2,0,2,1,0,30,70,70,3,7,3,3,37,1,1,0,3,0,1,1,1
"35637",1992,1,0,0,0,0,0,70,60,30,2,1,3,1,67,1,2,1,2,0,1,0,4
"35638",1992,0,0,1,0,0,0,NA,NA,50,2,2,2,NA,75,1,1,0,2,0,5,0,1
"35639",1992,1,-1,0,1,0,1,50,50,85,5,5,1,2,28,0,1,0,3,0,4,0,4
"35640",1992,0,1,0,1,1,0,80,80,50,3,3,1,3,33,1,1,0,3,0,5,1,4
"35641",1992,1,-2,0,2,0,1,50,70,15,3,4,0,3,71,1,3,0,2,0,5,1,4
"35642",1992,1,-3,0,3,0,1,70,60,40,4,1,3,4,53,1,1,0,2,0,1,0,4
"35643",1992,1,-1,0,1,0,1,70,70,60,4,2,2,3,33,1,1,0,2,0,3,0,2
"35644",1992,0,-2,0,2,0,1,50,50,40,3,5,1,3,19,0,1,0,2,1,1,0,1
"35645",1992,1,0,0,0,0,0,55,40,97,4,7,3,2,60,0,1,0,2,0,5,1,4
"35646",1992,0,NA,0,NA,NA,NA,50,50,NA,3,NA,NA,3,37,1,1,0,2,0,1,0,1
"35647",1992,0,0,1,0,0,0,50,50,60,2,5,1,1,38,1,1,0,2,0,3,0,1
"35648",1992,NA,0,0,0,0,0,NA,NA,40,6,4,0,3,78,0,1,0,2,0,4,1,4
"35649",1992,1,2,0,2,1,0,15,60,60,6,7,3,4,53,1,1,0,2,0,2,1,6
